,state,county,tract,rfgrp,prednum,prednum_moe,predrt,predrt_moe,stname,STABREV,ctname,popuni
82414,20,55,960507,1-2RF,861,188.2,59.46,13.0,Kansas,KS,"Finney County, KS",1448
82415,20,55,960507,3PLRF,331,156.4,22.86,10.8,Kansas,KS,"Finney County, KS",1448
82416,20,55,960508,0RF,485,184.0,25.3,9.6,Kansas,KS,"Finney County, KS",1917
82417,20,55,960508,1-2RF,908,206.4,47.37,10.77,Kansas,KS,"Finney County, KS",1917
82418,20,55,960508,3PLRF,524,166.9,27.33,8.71,Kansas,KS,"Finney County, KS",1917
82419,20,55,960600,0RF,1618,596.5,28.1,10.36,Kansas,KS,"Finney County, KS",5757
82420,20,55,960600,1-2RF,2676,695.0,46.48,12.07,Kansas,KS,"Finney County, KS",5757
82421,20,55,960600,3PLRF,1463,593.8,25.41,10.31,Kansas,KS,"Finney County, KS",5757
82422,20,57,0,0RF,5940,1906.6,17.71,5.68,Kansas,KS,"Ford County, KS",33547
82423,20,57,0,1-2RF,18857,2898.2,56.21,8.64,Kansas,KS,"Ford County, KS",33547
82424,20,57,0,3PLRF,8750,2671.6,26.08,7.96,Kansas,KS,"Ford County, KS",33547
82425,20,57,961600,0RF,548,159.0,31.51,9.14,Kansas,KS,"Ford County, KS",1739
82426,20,57,961600,1-2RF,787,166.9,45.26,9.6,Kansas,KS,"Ford County, KS",1739
82427,20,57,961600,3PLRF,404,135.6,23.23,7.8,Kansas,KS,"Ford County, KS",1739
82428,20,57,961700,0RF,620,148.4,34.48,8.25,Kansas,KS,"Ford County, KS",1798
82429,20,57,961700,1-2RF,810,155.8,45.05,8.67,Kansas,KS,"Ford County, KS",1798
82430,20,57,961700,3PLRF,368,129.3,20.47,7.19,Kansas,KS,"Ford County, KS",1798
82431,20,57,961800,0RF,2529,817.3,30.39,9.82,Kansas,KS,"Ford County, KS",8321
82432,20,57,961800,1-2RF,3581,915.8,43.04,11.01,Kansas,KS,"Ford County, KS",8321
82433,20,57,961800,3PLRF,2211,786.6,26.57,9.45,Kansas,KS,"Ford County, KS",8321
82434,20,57,961900,0RF,0,0.0,0.0,0.0,Kansas,KS,"Ford County, KS",8189
82435,20,57,961900,1-2RF,6396,867.9,78.1,10.6,Kansas,KS,"Ford County, KS",8189
82436,20,57,961900,3PLRF,1793,867.9,21.9,10.6,Kansas,KS,"Ford County, KS",8189
82437,20,57,962000,0RF,1440,519.3,27.71,9.99,Kansas,KS,"Ford County, KS",5197
82438,20,57,962000,1-2RF,2674,593.0,51.45,11.41,Kansas,KS,"Ford County, KS",5197
82439,20,57,962000,3PLRF,1083,496.6,20.84,9.56,Kansas,KS,"Ford County, KS",5197
82440,20,57,962101,0RF,0,0.0,0.0,0.0,Kansas,KS,"Ford County, KS",4974
82441,20,57,962101,1-2RF,2861,602.8,57.52,12.12,Kansas,KS,"Ford County, KS",4974
82442,20,57,962101,3PLRF,2113,602.8,42.48,12.12,Kansas,KS,"Ford County, KS",4974
82443,20,57,962102,0RF,803,290.1,24.12,8.71,Kansas,KS,"Ford County, KS",3329
82444,20,57,962102,1-2RF,1748,333.8,52.51,10.03,Kansas,KS,"Ford County, KS",3329
82445,20,57,962102,3PLRF,778,286.6,23.37,8.61,Kansas,KS,"Ford County, KS",3329
82446,20,59,0,0RF,9034,1694.1,35.74,6.7,Kansas,KS,"Franklin County, KS",25279
82447,20,59,0,1-2RF,11784,1750.2,46.62,6.92,Kansas,KS,"Franklin County, KS",25279
82448,20,59,0,3PLRF,4461,1392.3,17.65,5.51,Kansas,KS,"Franklin County, KS",25279
82449,20,59,954100,0RF,2622,486.3,39.18,7.27,Kansas,KS,"Franklin County, KS",6692
82450,20,59,954100,1-2RF,3214,504.9,48.03,7.54,Kansas,KS,"Franklin County, KS",6692
82451,20,59,954100,3PLRF,856,402.0,12.79,6.01,Kansas,KS,"Franklin County, KS",6692
82452,20,59,954200,0RF,893,276.7,30.15,9.34,Kansas,KS,"Franklin County, KS",2962
82453,20,59,954200,1-2RF,1608,286.7,54.29,9.68,Kansas,KS,"Franklin County, KS",2962
82454,20,59,954200,3PLRF,461,221.0,15.56,7.46,Kansas,KS,"Franklin County, KS",2962
82455,20,59,954300,0RF,2475,620.1,45.89,11.5,Kansas,KS,"Franklin County, KS",5393
82456,20,59,954300,1-2RF,2146,636.1,39.79,11.79,Kansas,KS,"Franklin County, KS",5393
