,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
4162,2020-06-17,KS,11681.0,130443.0,262,4900,247.0,2,5162,142124.0,696.0,5.08%,10738.0
4178,2020-06-17,NJ,167703.0,980138.0,277,15782,14524.0,42,16059,1147841.0,28966.0,1.72%,124213.0
4218,2020-06-16,KS,11419.0,125543.0,0,0,245.0,0,0,136962.0,676.0,0.00%,10498.0
4234,2020-06-16,NJ,167426.0,964356.0,323,15376,14482.0,52,15699,1131782.0,28872.0,2.06%,124072.0
4274,2020-06-15,KS,11419.0,125543.0,372,7438,245.0,2,7810,136962.0,676.0,4.76%,10498.0
4290,2020-06-15,NJ,167103.0,948980.0,222,18245,14430.0,52,18467,1116083.0,28819.0,1.20%,123854.0
4330,2020-06-14,KS,11047.0,118105.0,0,0,243.0,0,0,129152.0,667.0,0.00%,10137.0
4346,2020-06-14,NJ,166881.0,930735.0,276,19125,14378.0,37,19401,1097616.0,28714.0,1.42%,123789.0
4386,2020-06-13,KS,11047.0,118105.0,0,0,243.0,0,0,129152.0,667.0,0.00%,10137.0
4402,2020-06-13,NJ,166605.0,911610.0,441,22378,14341.0,103,22819,1078215.0,28606.0,1.93%,123658.0
4442,2020-06-12,KS,11047.0,118105.0,235,5175,243.0,3,5410,129152.0,667.0,4.34%,10137.0
4458,2020-06-12,NJ,166164.0,889232.0,348,24255,14238.0,49,24603,1055396.0,28509.0,1.41%,123417.0
4498,2020-06-11,KS,10812.0,112930.0,0,0,240.0,0,0,123742.0,657.0,0.00%,9915.0
4514,2020-06-11,NJ,165816.0,864977.0,470,21389,14189.0,67,21859,1030793.0,28376.0,2.15%,123251.0
4554,2020-06-10,KS,10812.0,112930.0,162,4071,240.0,4,4233,123742.0,657.0,3.83%,9915.0
4570,2020-06-10,NJ,165346.0,843588.0,550,18887,14122.0,76,19437,1008934.0,28207.0,2.83%,123017.0
4610,2020-06-09,KS,10650.0,108859.0,0,0,236.0,0,0,119509.0,625.0,0.00%,9789.0
4626,2020-06-09,NJ,164796.0,824701.0,299,14109,14046.0,93,14408,989497.0,28036.0,2.08%,122714.0
4666,2020-06-08,KS,10650.0,108859.0,257,5599,236.0,4,5856,119509.0,625.0,4.39%,9789.0
4682,2020-06-08,NJ,164497.0,810592.0,333,14331,13953.0,39,14664,975089.0,27941.0,2.27%,122603.0
4722,2020-06-07,KS,10393.0,103260.0,0,0,232.0,0,0,113653.0,612.0,0.00%,9549.0
4738,2020-06-07,NJ,164164.0,796261.0,271,17138,13914.0,71,17409,960425.0,27824.0,1.56%,122426.0
4778,2020-06-06,KS,10393.0,103260.0,0,0,232.0,0,0,113653.0,612.0,0.00%,9549.0
4794,2020-06-06,NJ,163893.0,779123.0,557,23568,13843.0,58,24125,943016.0,27641.0,2.31%,122409.0
4834,2020-06-05,KS,10393.0,103260.0,223,5377,232.0,10,5600,113653.0,612.0,3.98%,9549.0
4850,2020-06-05,NJ,163336.0,755555.0,806,60356,13785.0,82,61162,918891.0,27433.0,1.32%,122118.0
4890,2020-06-04,KS,10170.0,97883.0,0,0,222.0,0,0,108053.0,592.0,0.00%,9356.0
4906,2020-06-04,NJ,162530.0,695199.0,462,19847,13703.0,95,20309,857729.0,27231.0,2.27%,121596.0
4946,2020-06-03,KS,10170.0,97883.0,159,4582,222.0,5,4741,108053.0,592.0,3.35%,9356.0
4962,2020-06-03,NJ,162068.0,675352.0,523,19220,13608.0,112,19743,837420.0,27008.0,2.65%,121452.0
5002,2020-06-02,KS,10011.0,93301.0,0,8071,217.0,0,8071,103312.0,555.0,0.00%,9239.0
5018,2020-06-02,NJ,161545.0,656132.0,627,21450,13496.0,52,22077,817677.0,26815.0,2.84%,121234.0
5058,2020-06-01,KS,10011.0,85230.0,292,0,217.0,9,292,95241.0,547.0,100.00%,9247.0
5074,2020-06-01,NJ,160918.0,634682.0,473,48982,13444.0,26,49455,795600.0,26703.0,0.96%,120771.0
5114,2020-05-31,KS,9719.0,85230.0,0,0,208.0,0,0,94949.0,547.0,0.00%,8964.0
5130,2020-05-31,NJ,160445.0,585700.0,837,0,13418.0,67,837,746145.0,26560.0,100.00%,120467.0
5170,2020-05-30,KS,9719.0,85230.0,0,0,208.0,0,0,94949.0,547.0,0.00%,8964.0
5186,2020-05-30,NJ,159608.0,585700.0,764,28133,13351.0,106,28897,745308.0,26301.0,2.64%,119956.0
5226,2020-05-29,KS,9719.0,85230.0,382,10079,208.0,3,10461,94949.0,547.0,3.65%,8964.0
5242,2020-05-29,NJ,158844.0,557567.0,1029,29525,13245.0,135,30554,716411.0,26084.0,3.37%,119515.0
5282,2020-05-28,KS,9337.0,75151.0,0,0,205.0,0,0,84488.0,534.0,0.00%,8598.0
5298,2020-05-28,NJ,157815.0,528042.0,1187,24345,13110.0,67,25532,685857.0,25804.0,4.65%,118901.0
5338,2020-05-27,KS,9337.0,75151.0,119,2970,205.0,17,3089,84488.0,534.0,3.85%,8598.0
5354,2020-05-27,NJ,156628.0,503697.0,864,23569,13043.0,151,24433,660325.0,25552.0,3.54%,118033.0
5394,2020-05-26,KS,9218.0,72181.0,0,0,188.0,0,0,81399.0,493.0,0.00%,8537.0
5410,2020-05-26,NJ,155764.0,480128.0,672,11423,12892.0,52,12095,635892.0,25384.0,5.56%,117488.0
5450,2020-05-25,KS,9218.0,72181.0,260,4705,188.0,3,4965,81399.0,493.0,5.24%,8537.0
5466,2020-05-25,NJ,155092.0,468705.0,938,19052,12840.0,15,19990,623797.0,25253.0,4.69%,116999.0
5506,2020-05-24,KS,8958.0,67476.0,0,0,185.0,0,0,76434.0,485.0,0.00%,8288.0
5522,2020-05-24,NJ,154154.0,449653.0,1050,24022,12825.0,54,25072,603807.0,25040.0,4.19%,116289.0
5562,2020-05-23,KS,8958.0,67476.0,0,0,185.0,0,0,76434.0,485.0,0.00%,8288.0
5578,2020-05-23,NJ,153104.0,425631.0,385,23036,12771.0,99,23421,578735.0,24762.0,1.64%,115571.0
5618,2020-05-22,KS,8958.0,67476.0,419,4812,185.0,7,5231,76434.0,485.0,8.01%,8288.0
5634,2020-05-22,NJ,152719.0,402595.0,1247,9793,12672.0,148,11040,555314.0,24491.0,11.30%,115556.0
5674,2020-05-21,KS,8539.0,62664.0,0,0,178.0,0,0,71203.0,473.0,0.00%,7888.0
5690,2020-05-21,NJ,151472.0,392802.0,1073,11858,12524.0,102,12931,544274.0,24236.0,8.30%,114712.0
5730,2020-05-20,KS,8539.0,62664.0,199,4014,178.0,5,4213,71203.0,473.0,4.72%,7888.0
5746,2020-05-20,NJ,150399.0,380944.0,1386,9775,12422.0,168,11161,531343.0,23945.0,12.42%,114032.0
5786,2020-05-19,KS,8340.0,58650.0,0,0,173.0,0,0,66990.0,465.0,0.00%,7702.0
5802,2020-05-19,NJ,149013.0,371169.0,974,13639,12254.0,152,14613,520182.0,23657.0,6.67%,113102.0
5842,2020-05-18,KS,8340.0,58650.0,454,4944,173.0,1,5398,66990.0,465.0,8.41%,7702.0
5858,2020-05-18,NJ,148039.0,357530.0,1705,16299,12102.0,83,18004,505569.0,23496.0,9.47%,112441.0
5898,2020-05-17,KS,7886.0,53706.0,0,0,172.0,0,0,61592.0,443.0,0.00%,7271.0
5914,2020-05-17,NJ,146334.0,341231.0,1245,11096,12019.0,110,12341,487565.0,23299.0,10.09%,111016.0
5954,2020-05-16,KS,7886.0,53706.0,0,0,172.0,0,0,61592.0,443.0,0.00%,7271.0
