,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
9577,2020-03-12,KS,4.0,41.0,3,0,0.0,0,3,45.0,0.0,100.00%,4.0
9592,2020-03-12,NJ,30.0,74.0,6,17,1.0,0,23,104.0,0.0,26.09%,29.0
9628,2020-03-11,KS,1.0,41.0,0,24,0.0,0,24,42.0,0.0,0.00%,1.0
9642,2020-03-11,NJ,24.0,57.0,9,13,1.0,1,22,81.0,0.0,40.91%,23.0
9678,2020-03-10,KS,1.0,17.0,0,6,0.0,0,6,18.0,0.0,0.00%,1.0
9692,2020-03-10,NJ,15.0,44.0,4,9,0.0,0,13,59.0,0.0,30.77%,15.0
9728,2020-03-09,KS,1.0,11.0,0,0,0.0,0,0,12.0,0.0,0.00%,1.0
9742,2020-03-09,NJ,11.0,35.0,5,4,0.0,0,9,46.0,0.0,55.56%,11.0
9778,2020-03-08,KS,1.0,11.0,1,0,0.0,0,1,12.0,0.0,100.00%,1.0
9792,2020-03-08,NJ,6.0,31.0,2,31,0.0,0,33,37.0,0.0,6.06%,6.0
9828,2020-03-07,KS,0.0,11.0,0,7,0.0,0,7,11.0,0.0,0.00%,0.0
9842,2020-03-07,NJ,4.0,0.0,3,0,0.0,0,3,4.0,0.0,100.00%,4.0
9874,2020-03-06,KS,0.0,4.0,0,0,0.0,0,0,4.0,0.0,0.00%,0.0
9882,2020-03-06,NJ,1.0,0.0,0,0,0.0,0,0,1.0,0.0,0.00%,1.0
9910,2020-03-05,NJ,1.0,0.0,1,0,0.0,0,1,1.0,0.0,100.00%,1.0
9930,2020-03-04,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9939,2020-03-03,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9943,2020-03-02,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9947,2020-03-01,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9950,2020-02-29,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9952,2020-02-28,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9954,2020-02-27,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9956,2020-02-26,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9958,2020-02-25,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9960,2020-02-24,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9962,2020-02-23,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9964,2020-02-22,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9966,2020-02-21,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9968,2020-02-20,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9970,2020-02-19,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9972,2020-02-18,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9974,2020-02-17,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9976,2020-02-16,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9978,2020-02-15,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9980,2020-02-14,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9982,2020-02-13,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9984,2020-02-12,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9986,2020-02-11,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
9988,2020-02-10,NJ,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.00%,0.0
